country,continent,mean_lifeExp
Afghanistan,Asia,37.478833333333334
"Yemen, Rep.",Asia,46.78041666666667
Cambodia,Asia,47.90275
Nepal,Asia,48.986333333333334
Bangladesh,Asia,49.83408333333333
India,Asia,53.16608333333333
Myanmar,Asia,53.321666666666665
Indonesia,Asia,54.33575
Pakistan,Asia,54.88225
Mongolia,Asia,55.89033333333333
Iraq,Asia,56.58175
Vietnam,Asia,57.4795
Oman,Asia,58.44266666666667
Iran,Asia,58.636583333333334
Saudi Arabia,Asia,58.67875
Jordan,Asia,59.78641666666667
West Bank and Gaza,Asia,60.32866666666667
Philippines,Asia,60.96725
Syria,Asia,61.34616666666667
China,Asia,61.78514
Thailand,Asia,62.20025
"Korea, Dem. Rep.",Asia,63.60733333333334
Malaysia,Asia,64.27958333333333
"Korea, Rep.",Asia,65.001
Bahrain,Asia,65.60566666666666
Lebanon,Asia,65.86566666666667
Sri Lanka,Asia,66.52608333333333
Kuwait,Asia,68.92233333333333
Taiwan,Asia,70.33666666666667
Singapore,Asia,71.22025
"Hong Kong, China",Asia,73.49283333333334
Israel,Asia,73.64583333333333
Japan,Asia,74.82691666666666
